source,location,property_type,bedrooms,bathrooms,size_sqft,price_kes,title,listing_date,pid
PropertyPro,Nairobi,Unknown,1.0,1.0,,8000000,,2026-02-18,4ADRH
PropertyPro,Nairobi,Unknown,2.0,2.0,,5000000,,2026-02-18,4ADRG
PropertyPro,Nairobi,Unknown,,,,1300000,,2026-02-18,7ADRA
PropertyPro,Nairobi,Unknown,2.0,2.0,,3200000,,2026-02-18,8ADLS
PropertyPro,Nairobi,Unknown,2.0,2.0,,7900000,,2026-02-18,6BMSC
PropertyPro,Nairobi,Unknown,1.0,1.0,,4400000,,2026-02-18,6BMRG
PropertyPro,Nairobi,Unknown,5.0,5.0,,29500000,,2026-02-18,7BMPX
PropertyPro,Nairobi,Unknown,3.0,4.0,,10250000,,2026-02-18,6BMPX
PropertyPro,Nairobi,Unknown,2.0,2.0,,7950000,,2026-02-18,8BMPT
PropertyPro,Nairobi,Unknown,3.0,3.0,,9750000,,2026-02-18,1BMPR
PropertyPro,Nairobi,Unknown,3.0,4.0,,72500,,2026-02-18,3BMMD
PropertyPro,Nairobi,Unknown,3.0,2.0,,12500000,,2026-02-18,2BMMD
PropertyPro,Nairobi,Unknown,3.0,3.0,,26500000,,2026-02-18,9BLGV
PropertyPro,Nairobi,Unknown,3.0,3.0,,8500000,,2026-02-18,1BLGG
PropertyPro,Nairobi,Unknown,,,,10497669,,2026-02-18,
PropertyPro,Nairobi,Unknown,,,,1000000000,,2026-02-18,
PropertyPro,Nairobi,Unknown,,,,20000,,2026-02-18,
